Стартовый дебит;KH;Lгор;Расстояние до ближайщей скважины с ненулевой закачкой;Расстояние до ближайщей скважины с ненулевой добычей;D;Скважина
60.48;7.0200000000000005;209.688;0.3535533905932737622004221811;0.500000;0.00002231883344806115999905627204;P_Well_1
82.89;11.399999999999999;657.717;0.3535533905932737622004221811;0.500000;0.00001303800563529991391432558313;P_Well_10
88.09;2.88;761.889;0.3535533905932737622004221811;0.500000;0.00001169836840841229048088052346;P_Well_11
99.90;4.32;998.085;0.3535533905932737622004221811;0.500000;0.000009309462886639870250482439640;P_Well_12
50.57;6.720000000000001;11.3723;0.3535533905932737622004221811;0.500000;0.00002979667965832892559011462924;P_Well_13
69.50;2.64;390.017;0.3535533905932737622004221811;0.500000;0.00001769263201691451953082372730;P_Well_14
73.30;14.719999999999999;466.062;0.3535533905932737622004221811;0.500000;0.00001614964151188810583617551601;P_Well_15
61.94;12.32;238.849;0.3535533905932737622004221811;0.500000;0.00002145983900546203922642059339;P_Well_16
61.31;8.16;226.256;0.3535533905932737622004221811;0.500000;0.00002182576763623439535291101040;P_Well_17
57.05;6.75;140.961;0.3535533905932737622004221811;0.500000;0.00002456483700618398513681461926;P_Well_18
66.72;9.8;334.426;0.3535533905932737622004221811;0.500000;0.00001895278019259831593830805144;P_Well_19
56.12;8.58;122.343;0.3535533905932737622004221811;0.500000;0.00002522892645144247255522934600;P_Well_2
60.28;9.86;205.512;0.3535533905932737622004221811;0.500000;0.00002244706172732176165157097173;P_Well_20
56.02;12.06;120.464;0.3535533905932737622004221811;0.500000;0.00002529445718181332381042985732;P_Well_21
85.80;4.8100000000000005;716.029;0.3535533905932737622004221811;0.500000;0.00001226223433303368205618578410;P_Well_22
97.24;6.58;944.9;0.3535533905932737622004221811;0.500000;0.000009782354520457624912453856159;P_Well_23
77.05;5.3999999999999995;540.964;0.3535533905932737622004221811;0.500000;0.00001481942985290192614401080837;P_Well_24
73.21;16.38;464.112;0.3535533905932737622004221811;0.500000;0.00001618964054875450457282443260;P_Well_25
53.96;8.7;79.1299;0.3535533905932737622004221811;0.500000;0.00002687746864967028474772105006;P_Well_3
58.54;13.92;170.864;0.3535533905932737622004221811;0.500000;0.00002354856831182732830767485085;P_Well_4
70.12;6.6499999999999995;402.436;0.3535533905932737622004221811;0.500000;0.00001742374729181841055892174070;P_Well_5
87.89;2.16;757.895;0.3535533905932737622004221811;0.500000;0.00001174585364582600771076425889;P_Well_6
69.05;3.75;381.028;0.3535533905932737622004221811;0.500000;0.00001788664511772426924670895845;P_Well_7
55.68;17.51;113.648;0.3535533905932737622004221811;0.500000;0.00002554158032982538467781469650;P_Well_8
92.05;8.819999999999999;841.054;0.3535533905932737622004221811;0.500000;0.00001080913931091005041999582122;P_Well_9
