Стартовый дебит;KH;Lгор;Расстояние до ближайщей скважины с ненулевой закачкой;Расстояние до ближайщей скважины с ненулевой добычей;D;Скважина
75.0;303.5;548.8;646.1;604.6;0.0078;NewWell-26P
42.5;311.0;862.7;374.2;639.8;0.0081;NewWell-27P
107.3;156.4;495.7;479.3;724.7;0.0171;NewWell-28P
49.3;369.7;971.9;726.7;711.7;0.0182;NewWell-29P
21.6;212.7;627.2;486.1;441.0;0.0083;NewWell-30P
81.5;354.8;969.2;892.0;531.4;0.0240;NewWell-31P
68.5;160.5;697.5;679.4;651.9;0.0069;NewWell-32P
114.1;362.5;667.5;876.2;712.6;0.0216;NewWell-33P
105.7;224.0;881.8;815.6;621.2;0.0223;NewWell-34P
48.3;351.8;496.4;367.3;646.8;0.0059;NewWell-35P
113.5;226.6;442.5;651.9;463.4;0.0059;NewWell-36P
24.5;187.4;293.9;313.1;441.5;0.0098;NewWell-37P
26.1;223.6;511.9;735.4;782.0;0.0204;NewWell-38P
41.3;357.3;784.0;822.2;500.6;0.0203;NewWell-39P
18.1;212.2;692.2;794.8;647.2;0.0184;NewWell-40P
25.6;268.4;929.1;345.9;620.6;0.0189;NewWell-41P
70.0;351.0;690.4;536.9;561.1;0.0060;NewWell-42P
71.1;196.3;664.4;343.7;496.2;0.0161;NewWell-43P
81.6;154.0;553.4;326.1;794.8;0.0097;NewWell-44P
71.5;261.8;764.6;438.7;691.4;0.0055;NewWell-45P
57.6;283.8;408.6;757.1;581.0;0.0140;NewWell-46P
111.8;207.1;884.8;882.6;562.7;0.0244;NewWell-47P
18.6;281.9;549.7;612.5;407.8;0.0052;NewWell-48P
29.3;198.8;580.2;887.5;497.1;0.0116;NewWell-49P
55.3;266.0;981.3;837.6;547.2;0.0146;NewWell-50P
